kh,P_k
1.23155060e-02,2.21883881e+04
1.28989026e-02,2.24436572e+04
1.35099352e-02,2.26645020e+04
1.41499130e-02,2.28478225e+04
1.48202071e-02,2.29905250e+04
1.55222536e-02,2.30895748e+04
1.62575567e-02,2.31419995e+04
1.70276917e-02,2.31450133e+04
1.78343088e-02,2.30960179e+04
1.86791360e-02,2.29927529e+04
1.95639834e-02,2.28333502e+04
2.04907469e-02,2.26164328e+04
2.14614120e-02,2.23412714e+04
2.24780583e-02,2.20077801e+04
2.35428641e-02,2.16168345e+04
2.46581108e-02,2.11701105e+04
2.58261876e-02,2.06705037e+04
2.70495973e-02,2.01218694e+04
2.83309610e-02,1.95293521e+04
2.96730241e-02,1.88992048e+04
3.10786619e-02,1.82387845e+04
3.25508860e-02,1.75567088e+04
3.40928507e-02,1.68619574e+04
3.57078596e-02,1.61644120e+04
3.73993730e-02,1.54738536e+04
3.91710149e-02,1.48013547e+04
4.10265811e-02,1.41563205e+04
4.29700470e-02,1.35446413e+04
4.50055768e-02,1.29711589e+04
4.71375313e-02,1.24445217e+04
4.93704785e-02,1.19726446e+04
5.17092024e-02,1.15503867e+04
5.41587138e-02,1.11670506e+04
5.67242607e-02,1.08132002e+04
5.94113398e-02,1.04792634e+04
6.22257084e-02,1.01532600e+04
6.51733960e-02,9.82123346e+03
6.82607183e-02,9.46674842e+03
7.14942899e-02,9.07017209e+03
7.48810386e-02,8.61914141e+03
7.84282206e-02,8.11286479e+03
8.21434358e-02,7.56326450e+03
8.60346442e-02,6.99313515e+03
9.01101825e-02,6.42928122e+03
9.43787828e-02,5.89816055e+03
9.88495905e-02,5.42462655e+03
1.03532184e-01,5.02837201e+03
1.08436597e-01,4.71787293e+03
1.13573336e-01,4.48359661e+03
1.18953407e-01,4.29764313e+03
1.24588336e-01,4.12184846e+03
1.30490198e-01,3.91988006e+03
1.36671636e-01,3.67007102e+03
1.43145894e-01,3.37411261e+03
1.49926843e-01,3.05529478e+03
1.57029012e-01,2.75093880e+03
1.64467618e-01,2.50024072e+03
1.72258597e-01,2.31958542e+03
1.80418641e-01,2.19086112e+03
1.88965234e-01,2.07851281e+03
1.97916687e-01,1.94617104e+03
2.07292178e-01,1.77929941e+03
2.17111795e-01,1.60014334e+03
2.27396575e-01,1.44347038e+03
2.38168555e-01,1.32819310e+03
2.49450814e-01,1.24242220e+03
2.61267523e-01,1.15644337e+03
2.73644000e-01,1.05404972e+03
2.86606762e-01,9.49635794e+02
3.00183581e-01,8.63706865e+02
3.14403547e-01,7.97590477e+02
3.29297126e-01,7.34160177e+02
3.44896226e-01,6.65798825e+02
3.61234270e-01,6.02777416e+02
3.78346262e-01,5.51179900e+02
3.96268864e-01,5.03982843e+02
4.15040476e-01,4.56775366e+02
4.34701316e-01,4.14367822e+02
4.55293507e-01,3.77448729e+02
4.76861170e-01,3.42423975e+02
4.99450512e-01,3.10174750e+02
5.23109931e-01,2.81501324e+02
5.47890118e-01,2.54907840e+02
5.73844165e-01,2.30703223e+02
6.01027678e-01,2.08805938e+02
6.29498899e-01,1.88739985e+02
6.59318827e-01,1.70582332e+02
6.90551352e-01,1.54082861e+02
7.23263390e-01,1.39082948e+02
7.57525026e-01,1.25464339e+02
7.93409667e-01,1.13115254e+02
8.30994195e-01,1.01930397e+02
8.70359136e-01,9.18084581e+01
9.11588830e-01,8.26528580e+01
9.54771611e-01,7.43751987e+01
1.00000000e+00,6.68948005e+01
