k,P_k
0.00850448934180267,19254.983080008205
0.008907354638610435,19683.387119668623
0.009329304026284681,20099.125173688994
0.009771241535346488,20499.848217484316
0.010234114021054523,20883.10557465811
0.010718913192051273,21246.3093851487
0.011226677735108123,21586.79242416934
0.011758495540521559,21901.768404583
0.01231550603292825,22188.388105551217
0.012898902612533073,22443.65716632548
0.013509935211980259,22664.501981176458
0.01414991297434575,22847.822487281243
0.014820207057988567,22990.525016250573
0.01552225357427046,23089.57483383719
0.01625755666443793,23141.999514297935
0.01702769172225898,23145.013312459752
0.017834308769319077,23096.01793583074
0.01867913599020781,22992.75290938629
0.019563983435170615,22833.350163118143
0.02049074689815845,22616.432756259386
0.021461411978584026,22341.271374190434
0.022478058335487244,22007.780105049947
0.023542864143224148,21616.8344725838
0.02465811075822601,21170.11048313958
0.025826187606826746,20670.503689216792
0.02704959730463132,20121.869432970645
0.02833096101839322,19529.352147554855
0.029673024081888676,18899.204839842238
0.031078661877820095,18238.78447446636
0.03255088599835055,17556.708830361214
0.034092850697468105,16861.957387514947
0.03570785964900459,16164.412046859537
0.037399373024787935,15473.853647171143
0.039171014908092563,14801.354735483921
0.04102658105827187,14156.320473137195
0.042970047043208365,13544.64133128452
0.04500557675700495,12971.158934768284
0.047137531341167174,12444.521710257075
0.04937047852838997,11972.644628197797
0.05170920242896754,11550.386706492263
0.05415871378079464,11167.05062692591
0.05672426068491972,10813.200154176162
0.05941133984965028,10479.263391698161
0.06222570836730221,10153.259984080842
0.06517339604882416,9821.233458630595
0.06826071834272382,9466.748424252779
0.07149428986597574,9070.172089619206
0.07488103857590013,8619.141412277184
0.07842822061337672,8112.864793439918
0.0821434358491942,7563.264497824205
0.08603464416684492,6993.135152890354
0.09011018251665011,6429.2812204941065
0.09437878277775374,5898.160550204821
0.0988495904662557,5424.626546378849
0.10353218432956611,5028.372011667972
0.10843659686896093,4717.872931376636
0.11357333583431037,4483.596614542127
0.11895340673703182,4297.643129798576
0.12458833642950068,4121.848460082999
0.13049019780144006,3919.880060190747
0.1366716356462005,3670.071021119285
0.14314589375234776,3374.1126086092263
0.1499268432786043,3055.2947807213977
0.15702901247293752,2750.9388042221426
0.16446761779946623,2500.2407213036104
0.17225859653987838,2319.5854182251915
0.18041864093920698,2190.8611214806015
0.1889652339691208,2078.512806950357
0.19791668678535537,1946.1710421371115
0.20729217795953683,1779.2994077799162
0.21711179456945015,1600.1433437474304
0.22739657523579263,1443.4703751571124
0.23816855519761548,1328.1931005832068
0.24945081352303133,1242.4221987693554
0.2612675225563326,1156.4433704255107
0.27364399970746667,1054.0497226307123
0.2866067616948248,949.6357938532352
0.3001835813575586,863.7068650424599
0.3144035471591495,797.5904770487755
0.3292971255097143,734.1601772145572
0.34489622604057546,665.7988251970806
0.3612342699709426,602.7774161129765
0.37834626171319213,551.1799000899928
0.39626886387014737,503.98284272149533
0.4150404757850469,456.7753661636508
0.4347013158125022,414.3678216282001
0.4552935074866944,377.44872910375574
0.4768611697714462,342.42397490088644
0.49945051158551373,310.1747502639594
0.5231099308056256,281.501324385322
0.5478901179593932,254.90783994982044
0.573844164830239,230.7032226749262
0.6010276782070375,208.80593816558417
0.6294988990221876,188.7399849944945
0.6593188271333542,170.5823321988703
0.6905513520162319,154.08286116621258
0.7232633896483522,139.08294825337933
0.7575250258771908,125.46433917104319
0.7934096665797481,113.115253747058
0.8309941949353378,101.93039713085828
0.8703591361485155,91.80845809785816
0.9115888299750808,82.65285798423336
0.9547716114208039,74.37519873565827
0.9999999999999991,66.89480054981081
